,groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
0,TAlendar,0,0,3,0,1
1,TAlendar,1,0,0,3,0
2,TAlendar,1,0,0,2,1
3,TAlendar,2,1,1,0,1
4,TAlendar,0,0,2,2,0
5,TAlendar,2,1,0,2,0
6,TAlendar,0,0,0,2,2
7,TAlendar,0,0,1,2,1
8,TAlendar,1,0,0,1,2
9,TAlendar,1,0,1,2,0
10,TAlendar,2,1,0,1,1
11,TAlendar,0,0,1,3,0
12,TAlendar,0,0,0,1,3
13,TAlendar,1,0,0,0,3
14,TAlendar,2,1,1,1,0
15,TAlendar,1,0,1,1,1
16,TAlendar,0,0,2,1,1
17,TAlendar,0,0,1,1,2
18,TAlendar,0,0,4,0,0
19,TAlendar,0,0,1,0,3
20,TAlendar,2,1,2,0,0
21,TAlendar,1,0,2,0,1
22,TAlendar,0,0,3,1,0
23,TAlendar,0,0,2,0,2
24,TAlendar,0,0,0,0,4
25,TAlendar,0,0,0,4,0
26,TAlendar,0,0,0,3,1
27,TAlendar,1,0,1,0,2
28,TAlendar,1,0,2,1,0
29,TAlendar,1,0,3,0,0
